"id","movie_name","year","topics","writer","director","actors","official_site","movie_making_zone","IMDb","movie_rate","votes"
"1297268",秋日奏鸣曲 Höstsonaten,"1978","剧情,家庭",英格玛·伯格曼,"英,格,玛,·,伯,格,曼","英格丽·褒曼,丽芙·乌曼,莱娜·尼曼,哈尔瓦德·比约克",, 瑞典 / 法国 / 西德 / 英国, tt0077711,9.0,26587.0
"5964718",一次别离 جدایی نادر از سیمین,"2011","剧情,家庭",阿斯哈·法哈蒂,"阿,斯,哈,·,法,哈,蒂","佩曼·莫阿迪,蕾拉·哈塔米,萨瑞·巴亚特,沙哈布·侯赛尼,萨日娜·法哈蒂,梅里拉·扎雷伊,阿里-阿萨哈·萨哈巴齐,巴巴克·卡里米,吉米娅·侯赛伊妮,希尔·亚齐丹巴克什,萨哈巴努·佐哈多",, 伊朗 / 法国, tt1832382,8.7,231212.0
"2131459",机器人总动员 WALL·E,"2008","科幻,动画,冒险",安德鲁·斯坦顿,"安,德,鲁,·,斯,坦,顿","本·贝尔特,艾丽莎·奈特,杰夫·格尔林,佛莱德·威拉特,西格妮·韦弗,MacInTalk,约翰·拉岑贝格,凯茜·纳基麦,泰迪·牛顿,鲍伯·伯根,洛丽·理查德森,吉姆·瓦德,彼特·道格特,安德鲁·斯坦顿,杰夫·皮金,约翰·齐甘,米凯·麦高万,雪莉·琳恩,克莱特·惠特克,唐纳德·富利洛夫,罗里·艾伦,杰斯·哈梅尔,拉瑞恩·纽曼,扬·拉布森,保罗·伊丁",, 美国, tt0910970,9.3,1189680.0
"1291999",重庆森林 重慶森林,"1994","剧情,爱情",王家卫,"王,家,卫","林青霞,金城武,梁朝伟,王菲,周嘉玲",, 中国香港, tt0109424,8.8,712384.0
"2043546",秒速5厘米 秒速5センチメートル,"2007","剧情,爱情,动画",新海诚,"新,海,诚","水桥研二,近藤好美,花村怜美,尾上绫华,水野理纱,寺崎裕香,中村祐子,岩崎征实,内藤玲,下崎纮史,平野贵裕,中川玲,井关佳子,井上优,加古临王,中村梨香,须加美纪,鲑延未可,新鹿由美子,斋藤由香子",, 日本, tt0983213,8.3,527965.0
"1295644",这个杀手不太冷 Léon,"1994","剧情,动作,犯罪",吕克·贝松,"吕,克,·,贝,松","让·雷诺,娜塔莉·波特曼,加里·奥德曼,丹尼·爱罗,彼得·阿佩尔,迈克尔·巴达鲁科,艾伦·格里尼,伊丽莎白·瑞根,卡尔·马图斯维奇,弗兰克·赛格,麦温,乔治·马丁,罗伯特·拉萨多,亚当·布斯奇,马里奥·托迪斯科,萨米·纳塞利",, 法国 / 美国, tt0110413,9.4,2091660.0
"1291578",冰川时代 Ice Age,"2002","喜剧,动画,冒险",迈克尔·伯格 ,"卡,洛,斯,·,沙,尔,丹,哈","雷·罗马诺,约翰·雷吉扎莫,丹尼斯·利瑞,杰克·布莱克",, 美国, tt0268380,8.6,552856.0
"1294433",秋刀鱼之味 秋刀魚の味,"1962","剧情,家庭",野田高梧,"小,津,安,二,郎","笠智众,岩下志麻,冈田茉莉子,佐田启二,三上真一郎,吉田辉雄,岸田今日子,杉村春子,中村伸郎,北龙二",, 日本, tt0056444,8.7,39199.0
"1291579","怪兽电力公司 Monsters, Inc.","2001","喜剧,动画,儿童,奇幻,冒险",安德鲁·斯坦顿,"彼,特,·,道,格,特","约翰·古德曼,比利·克里斯托,玛丽·吉布斯,史蒂夫·布西密,詹姆斯·柯本,詹妮弗·提莉,鲍勃·彼德森,约翰·拉岑贝格,弗兰克·奥兹,丹尼尔·吉尔森,邦尼·亨特,杰克·安杰尔,塞缪尔·洛德·布莱克,史蒂夫·萨斯坎德",, 美国, tt0198781,8.8,590337.0
"2129039",飞屋环游记 Up,"2009","剧情,喜剧,动画,冒险",彼特·道格特,"彼,特,·,道,格,特","爱德华·阿斯纳,克里斯托弗·普卢默,乔丹·长井,鲍勃·彼德森,德尔罗伊·林多,杰罗姆·兰福特,约翰·拉岑贝格,大卫·卡耶,艾丽·道克特,杰里米·利里,米凯·麦高万,丹尼·曼恩,唐纳德·富利洛夫,杰斯·哈梅尔,乔什·库雷,彼特·道格特",, 美国, tt1049413,9.1,1189330.0
"1305690",阿飞正传 阿飛正傳,"1990","剧情,爱情,犯罪",王家卫,"王,家,卫","张国荣,张曼玉,刘嘉玲,刘德华,张学友,潘迪华,梁朝伟",, 中国香港, tt0101258,8.5,449767.0
"1959877",崖上的波妞 崖の上のポニョ,"2008","动画,奇幻,冒险",宫崎骏,"宫,崎,骏","奈良柚莉爱,土井洋辉,山口智子,长岛一茂,天海祐希,所乔治,柊瑠美,矢野显子,吉行和子,奈良冈朋子,左时枝,羽鸟慎一,平冈映美,大桥望美",, 日本, tt0876563,8.6,421441.0
"1304476",独立时代 獨立時代,"1994",剧情,杨德昌,"杨,德,昌","陈湘琪,王柏森,邓安宁,李芹,王维明,倪淑君,陈以文,金燕玲,金士杰,鸿鸿",, 中国台湾, tt0109685,8.8,33390.0
"1291851",小武,"1998",剧情,贾樟柯,"贾,樟,柯","王宏伟,郝鸿建,左夏初",, 中国香港 / 中国大陆, tt0144020,8.5,115572.0
